Snoring Rate,Respiratory Rate,Body Temperature,Limb Movement,Blood Oxygen,Eye Movement,Sleep Hours,Heart Rate
99.04,29.04,88.8,18.52,86.56,103.8,0.0,82.6
68.32,20.832,92.832,10.832,90.832,89.16,3.248,62.08
53.36,18.672,94.672,8.672,93.008,81.68,5.672,56.68
49.56,17.824,98.736,7.648,96.824,78.24,8.824,54.56
98.752,28.752,88.44,18.376,86.128,103.44,0.0,81.88
67.52,20.752,92.752,10.752,90.752,88.76,3.128,61.88
45.8,16.32,96.48,4.64,95.32,63.2,7.32,50.8
83.96,23.056,90.528,13.32,88.528,96.32,0.528,67.64
92.0,25.2,91.6,16.0,89.6,99.0,1.6,73.0
59.36,19.872,95.872,9.872,94.808,84.68,6.872,59.68
96.096,26.096,85.12,17.048,82.144,100.12,0.0,75.24
98.016,28.016,87.52,18.008,85.024,102.52,0.0,80.04
68.0,20.8,92.8,10.8,90.8,89.0,3.2,62.0
83.72,22.992,90.496,13.24,88.496,96.24,0.496,67.48
99.136,29.136,88.92,18.568,86.704,103.92,0.0,82.84
52.32,18.464,94.464,8.464,92.696,81.16,5.464,56.16
88.76,24.336,91.168,14.92,89.168,97.92,1.168,70.84
55.36,19.072,95.072,9.072,93.608,82.68,6.072,57.68
92.48,25.328,91.664,16.16,89.664,99.16,1.664,73.32
79.52,21.952,93.952,11.952,91.952,94.76,4.928,64.88
76.0,21.6,93.6,11.6,91.6,93.0,4.4,64.0
48.52,17.408,98.112,6.816,96.408,74.08,8.408,53.52
59.84,19.968,95.968,9.968,94.952,84.92,6.968,59.92
99.904,29.904,89.88,18.952,87.856,104.88,0.0,84.76
93.8,25.68,91.84,16.6,89.84,99.6,1.84,74.2
65.44,20.544,92.544,10.544,90.544,87.72,2.816,61.36
58.32,19.664,95.664,9.664,94.496,84.16,6.664,59.16
55.12,19.024,95.024,9.024,93.536,82.56,6.024,57.56
90.8,24.88,91.44,15.6,89.44,98.6,1.44,72.2
99.52,29.52,89.4,18.76,87.28,104.4,0.0,83.8
89.48,24.528,91.264,15.16,89.264,98.16,1.264,71.32
69.76,20.976,92.976,10.976,90.976,89.88,3.464,62.44
98.592,28.592,88.24,18.296,85.888,103.24,0.0,81.48
68.64,20.864,92.864,10.864,90.864,89.32,3.296,62.16
98.24,28.24,87.8,18.12,85.36,102.8,0.0,80.6
79.04,21.904,93.904,11.904,91.904,94.52,4.856,64.76
51.36,18.272,94.272,8.272,92.408,80.68,5.272,55.68
99.872,29.872,89.84,18.936,87.808,104.84,0.0,84.68
81.56,22.416,90.208,12.52,88.208,95.52,0.208,66.04
98.464,28.464,88.08,18.232,85.696,103.08,0.0,81.16
97.696,27.696,87.12,17.848,84.544,102.12,0.0,79.24
68.48,20.848,92.848,10.848,90.848,89.24,3.272,62.12
71.04,21.104,93.104,11.104,91.104,90.52,3.656,62.76
55.92,19.184,95.184,9.184,93.776,82.96,6.184,57.96
97.12,27.12,86.4,17.56,83.68,101.4,0.0,77.8
86.84,23.824,90.912,14.28,88.912,97.28,0.912,69.56
74.24,21.424,93.424,11.424,91.424,92.12,4.136,63.56
51.2,18.24,94.24,8.24,92.36,80.6,5.24,55.6
90.2,24.72,91.36,15.4,89.36,98.4,1.36,71.8
63.36,20.336,92.336,10.336,90.336,86.68,2.504,60.84
47.28,16.912,97.368,5.824,95.912,69.12,7.912,52.28
56.08,19.216,95.216,9.216,93.824,83.04,6.216,58.04
57.36,19.472,95.472,9.472,94.208,83.68,6.472,58.68
62.88,20.288,92.288,10.288,90.288,86.44,2.432,60.72
99.808,29.808,89.76,18.904,87.712,104.76,0.0,84.52
97.344,27.344,86.68,17.672,84.016,101.68,0.0,78.36
99.744,29.744,89.68,18.872,87.616,104.68,0.0,84.36
96.96,26.96,86.2,17.48,83.44,101.2,0.0,77.4
49.36,17.744,98.616,7.488,96.744,77.44,8.744,54.36
46.68,16.672,97.008,5.344,95.672,66.72,7.672,51.68
73.92,21.392,93.392,11.392,91.392,91.96,4.088,63.48
46.4,16.56,96.84,5.12,95.56,65.6,7.56,51.4
52.72,18.544,94.544,8.544,92.816,81.36,5.544,56.36
45.84,16.336,96.504,4.672,95.336,63.36,7.336,50.84
96.416,26.416,85.52,17.208,82.624,100.52,0.0,76.04
98.4,28.4,88.0,18.2,85.6,103.0,0.0,81.0
50.0,18.0,99.0,8.0,97.0,80.0,9.0,55.0
86.0,23.6,90.8,14.0,88.8,97.0,0.8,69.0
88.16,24.176,91.088,14.72,89.088,97.72,1.088,70.44
76.16,21.616,93.616,11.616,91.616,93.08,4.424,64.04
46.76,16.704,97.056,5.408,95.704,67.04,7.704,51.76
48.32,17.328,97.992,6.656,96.328,73.28,8.328,53.32
82.04,22.544,90.272,12.68,88.272,95.68,0.272,66.36
48.28,17.312,97.968,6.624,96.312,73.12,8.312,53.28
51.44,18.288,94.288,8.288,92.432,80.72,5.288,55.72
66.24,20.624,92.624,10.624,90.624,88.12,2.936,61.56
63.84,20.384,92.384,10.384,90.384,86.92,2.576,60.96
50.08,18.016,94.016,8.016,92.024,80.04,5.016,55.04
50.4,18.08,94.08,8.08,92.12,80.2,5.08,55.2
48.0,17.2,97.8,6.4,96.2,72.0,8.2,53.0
50.32,18.064,94.064,8.064,92.096,80.16,5.064,55.16
83.6,22.96,90.48,13.2,88.48,96.2,0.48,67.4
94.64,25.904,91.952,16.88,89.952,99.88,1.952,74.76
46.32,16.528,96.792,5.056,95.528,65.28,7.528,51.32
67.04,20.704,92.704,10.704,90.704,88.52,3.056,61.76
99.296,29.296,89.12,18.648,86.944,104.12,0.0,83.24
96.032,26.032,85.04,17.016,82.048,100.04,0.0,75.08
97.024,27.024,86.28,17.512,83.536,101.28,0.0,77.56
96.352,26.352,85.44,17.176,82.528,100.44,0.0,75.88
99.264,29.264,89.08,18.632,86.896,104.08,0.0,83.16
81.44,22.384,90.192,12.48,88.192,95.48,0.192,65.96
91.16,24.976,91.488,15.72,89.488,98.72,1.488,72.44
63.68,20.368,92.368,10.368,90.368,86.84,2.552,60.92
71.2,21.12,93.12,11.12,91.12,90.6,3.68,62.8
53.28,18.656,94.656,8.656,92.984,81.64,5.656,56.64
96.128,26.128,85.16,17.064,82.192,100.16,0.0,75.32
53.68,18.736,94.736,8.736,93.104,81.84,5.736,56.84
59.12,19.824,95.824,9.824,94.736,84.56,6.824,59.56
59.2,19.84,95.84,9.84,94.76,84.6,6.84,59.6
58.72,19.744,95.744,9.744,94.616,84.36,6.744,59.36
70.72,21.072,93.072,11.072,91.072,90.36,3.608,62.68
49.08,17.632,98.448,7.264,96.632,76.32,8.632,54.08
97.44,27.44,86.8,17.72,84.16,101.8,0.0,78.6
58.56,19.712,95.712,9.712,94.568,84.28,6.712,59.28
49.0,17.6,98.4,7.2,96.6,76.0,8.6,54.0
98.208,28.208,87.76,18.104,85.312,102.76,0.0,80.52
46.52,16.608,96.912,5.216,95.608,66.08,7.608,51.52
90.56,24.816,91.408,15.52,89.408,98.52,1.408,72.04
48.96,17.584,98.376,7.168,96.584,75.84,8.584,53.96
58.16,19.632,95.632,9.632,94.448,84.08,6.632,59.08
92.84,25.424,91.712,16.28,89.712,99.28,1.712,73.56
75.84,21.584,93.584,11.584,91.584,92.92,4.376,63.96
47.2,16.88,97.32,5.76,95.88,68.8,7.88,52.2
94.28,25.808,91.904,16.76,89.904,99.76,1.904,74.52
86.24,23.664,90.832,14.08,88.832,97.08,0.832,69.16
74.08,21.408,93.408,11.408,91.408,92.04,4.112,63.52
92.96,25.456,91.728,16.32,89.728,99.32,1.728,73.64
50.72,18.144,94.144,8.144,92.216,80.36,5.144,55.36
56.96,19.392,95.392,9.392,94.088,83.48,6.392,58.48
52.8,18.56,94.56,8.56,92.84,81.4,5.56,56.4
99.168,29.168,88.96,18.584,86.752,103.96,0.0,82.92
91.88,25.168,91.584,15.96,89.584,98.96,1.584,72.92
86.36,23.696,90.848,14.12,88.848,97.12,0.848,69.24
45.2,16.08,96.12,4.16,95.08,60.8,7.08,50.2
55.2,19.04,95.04,9.04,93.56,82.6,6.04,57.6
90.68,24.848,91.424,15.56,89.424,98.56,1.424,72.12
49.24,17.696,98.544,7.392,96.696,76.96,8.696,54.24
66.4,20.64,92.64,10.64,90.64,88.2,2.96,61.6
72.64,21.264,93.264,11.264,91.264,91.32,3.896,63.16
56.88,19.376,95.376,9.376,94.064,83.44,6.376,58.44
98.912,28.912,88.64,18.456,86.368,103.64,0.0,82.28
83.24,22.864,90.432,13.08,88.432,96.08,0.432,67.16
66.56,20.656,92.656,10.656,90.656,88.28,2.984,61.64
98.624,28.624,88.28,18.312,85.936,103.28,0.0,81.56
52.64,18.528,94.528,8.528,92.792,81.32,5.528,56.32
56.72,19.344,95.344,9.344,94.016,83.36,6.344,58.36
57.84,19.568,95.568,9.568,94.352,83.92,6.568,58.92
46.16,16.464,96.696,4.928,95.464,64.64,7.464,51.16
85.76,23.536,90.768,13.92,88.768,96.92,0.768,68.84
75.52,21.552,93.552,11.552,91.552,92.76,4.328,63.88
51.04,18.208,94.208,8.208,92.312,80.52,5.208,55.52
63.04,20.304,92.304,10.304,90.304,86.52,2.456,60.76
97.856,27.856,87.32,17.928,84.784,102.32,0.0,79.64
68.16,20.816,92.816,10.816,90.816,89.08,3.224,62.04
84.68,23.248,90.624,13.56,88.624,96.56,0.624,68.12
96.768,26.768,85.96,17.384,83.152,100.96,0.0,76.92
78.56,21.856,93.856,11.856,91.856,94.28,4.784,64.64
51.28,18.256,94.256,8.256,92.384,80.64,5.256,55.64
48.88,17.552,98.328,7.104,96.552,75.52,8.552,53.88
49.6,17.84,98.76,7.68,96.84,78.4,8.84,54.6
45.52,16.208,96.312,4.416,95.208,62.08,7.208,50.52
98.528,28.528,88.16,18.264,85.792,103.16,0.0,81.32
74.56,21.456,93.456,11.456,91.456,92.28,4.184,63.64
98.048,28.048,87.56,18.024,85.072,102.56,0.0,80.12
55.84,19.168,95.168,9.168,93.752,82.92,6.168,57.92
52.56,18.512,94.512,8.512,92.768,81.28,5.512,56.28
96.544,26.544,85.68,17.272,82.816,100.68,0.0,76.36
54.48,18.896,94.896,8.896,93.344,82.24,5.896,57.24
98.304,28.304,87.88,18.152,85.456,102.88,0.0,80.76
79.68,21.968,93.968,11.968,91.968,94.84,4.952,64.92
61.92,20.192,92.192,10.192,90.192,85.96,2.288,60.48
67.2,20.72,92.72,10.72,90.72,88.6,3.08,61.8
48.16,17.264,97.896,6.528,96.264,72.64,8.264,53.16
60.48,20.048,92.048,10.048,90.048,85.24,2.072,60.12
85.16,23.376,90.688,13.72,88.688,96.72,0.688,68.44
99.776,29.776,89.72,18.888,87.664,104.72,0.0,84.44
51.52,18.304,94.304,8.304,92.456,80.76,5.304,55.76
55.76,19.152,95.152,9.152,93.728,82.88,6.152,57.88
48.8,17.52,98.28,7.04,96.52,75.2,8.52,53.8
88.4,24.24,91.12,14.8,89.12,97.8,1.12,70.6
48.08,17.232,97.848,6.464,96.232,72.32,8.232,53.08
96.864,26.864,86.08,17.432,83.296,101.08,0.0,77.16
52.0,18.4,94.4,8.4,92.6,81.0,5.4,56.0
59.04,19.808,95.808,9.808,94.712,84.52,6.808,59.52
61.12,20.112,92.112,10.112,90.112,85.56,2.168,60.28
46.04,16.416,96.624,4.832,95.416,64.16,7.416,51.04
50.88,18.176,94.176,8.176,92.264,80.44,5.176,55.44
97.376,27.376,86.72,17.688,84.064,101.72,0.0,78.44
84.08,23.088,90.544,13.36,88.544,96.36,0.544,67.72
48.68,17.472,98.208,6.944,96.472,74.72,8.472,53.68
56.32,19.264,95.264,9.264,93.896,83.16,6.264,58.16
97.76,27.76,87.2,17.88,84.64,102.2,0.0,79.4
54.96,18.992,94.992,8.992,93.488,82.48,5.992,57.48
97.824,27.824,87.28,17.912,84.736,102.28,0.0,79.56
79.84,21.984,93.984,11.984,91.984,94.92,4.976,64.96
47.56,17.024,97.536,6.048,96.024,70.24,8.024,52.56
99.552,29.552,89.44,18.776,87.328,104.44,0.0,83.88
97.472,27.472,86.84,17.736,84.208,101.84,0.0,78.68
99.968,29.968,89.96,18.984,87.952,104.96,0.0,84.92
97.792,27.792,87.24,17.896,84.688,102.24,0.0,79.48
49.76,17.904,98.856,7.808,96.904,79.04,8.904,54.76
45.28,16.112,96.168,4.224,95.112,61.12,7.112,50.28
49.88,17.952,98.928,7.904,96.952,79.52,8.952,54.88
48.48,17.392,98.088,6.784,96.392,73.92,8.392,53.48
47.72,17.088,97.632,6.176,96.088,70.88,8.088,52.72
82.76,22.736,90.368,12.92,88.368,95.92,0.368,66.84
91.76,25.136,91.568,15.92,89.568,98.92,1.568,72.84
72.16,21.216,93.216,11.216,91.216,91.08,3.824,63.04
58.96,19.792,95.792,9.792,94.688,84.48,6.792,59.48
58.48,19.696,95.696,9.696,94.544,84.24,6.696,59.24
96.608,26.608,85.76,17.304,82.912,100.76,0.0,76.52
97.728,27.728,87.16,17.864,84.592,102.16,0.0,79.32
72.0,21.2,93.2,11.2,91.2,91.0,3.8,63.0
46.72,16.688,97.032,5.376,95.688,66.88,7.688,51.72
73.12,21.312,93.312,11.312,91.312,91.56,3.968,63.28
46.44,16.576,96.864,5.152,95.576,65.76,7.576,51.44
59.52,19.904,95.904,9.904,94.856,84.76,6.904,59.76
88.52,24.272,91.136,14.84,89.136,97.84,1.136,70.68
77.44,21.744,93.744,11.744,91.744,93.72,4.616,64.36
87.68,24.048,91.024,14.56,89.024,97.56,1.024,70.12
81.32,22.352,90.176,12.44,88.176,95.44,0.176,65.88
75.04,21.504,93.504,11.504,91.504,92.52,4.256,63.76
46.12,16.448,96.672,4.896,95.448,64.48,7.448,51.12
47.76,17.104,97.656,6.208,96.104,71.04,8.104,52.76
72.32,21.232,93.232,11.232,91.232,91.16,3.848,63.08
67.36,20.736,92.736,10.736,90.736,88.68,3.104,61.84
99.936,29.936,89.92,18.968,87.904,104.92,0.0,84.84
50.8,18.16,94.16,8.16,92.24,80.4,5.16,55.4
48.76,17.504,98.256,7.008,96.504,75.04,8.504,53.76
84.56,23.216,90.608,13.52,88.608,96.52,0.608,68.04
76.64,21.664,93.664,11.664,91.664,93.32,4.496,64.16
45.08,16.032,96.048,4.064,95.032,60.32,7.032,50.08
53.2,18.64,94.64,8.64,92.96,81.6,5.64,56.6
92.36,25.296,91.648,16.12,89.648,99.12,1.648,73.24
99.68,29.68,89.6,18.84,87.52,104.6,0.0,84.2
58.64,19.728,95.728,9.728,94.592,84.32,6.728,59.32
58.08,19.616,95.616,9.616,94.424,84.04,6.616,59.04
80.6,22.16,90.08,12.2,88.08,95.2,0.08,65.4
98.272,28.272,87.84,18.136,85.408,102.84,0.0,80.68
49.32,17.728,98.592,7.456,96.728,77.28,8.728,54.32
56.64,19.328,95.328,9.328,93.992,83.32,6.328,58.32
98.56,28.56,88.2,18.28,85.84,103.2,0.0,81.4
58.4,19.68,95.68,9.68,94.52,84.2,6.68,59.2
75.2,21.52,93.52,11.52,91.52,92.6,4.28,63.8
93.92,25.712,91.856,16.64,89.856,99.64,1.856,74.28
89.6,24.56,91.28,15.2,89.28,98.2,1.28,71.4
89.36,24.496,91.248,15.12,89.248,98.12,1.248,71.24
45.88,16.352,96.528,4.704,95.352,63.52,7.352,50.88
51.12,18.224,94.224,8.224,92.336,80.56,5.224,55.56
80.36,22.096,90.048,12.12,88.048,95.12,0.048,65.24
97.312,27.312,86.64,17.656,83.968,101.64,0.0,78.28
58.24,19.648,95.648,9.648,94.472,84.12,6.648,59.12
48.84,17.536,98.304,7.072,96.536,75.36,8.536,53.84
96.064,26.064,85.08,17.032,82.096,100.08,0.0,75.16
86.96,23.856,90.928,14.32,88.928,97.32,0.928,69.64
45.72,16.288,96.432,4.576,95.288,62.88,7.288,50.72
69.92,20.992,92.992,10.992,90.992,89.96,3.488,62.48
87.92,24.112,91.056,14.64,89.056,97.64,1.056,70.28
80.24,22.064,90.032,12.08,88.032,95.08,0.032,65.16
60.8,20.08,92.08,10.08,90.08,85.4,2.12,60.2
49.04,17.616,98.424,7.232,96.616,76.16,8.616,54.04
49.84,17.936,98.904,7.872,96.936,79.36,8.936,54.84
98.112,28.112,87.64,18.056,85.168,102.64,0.0,80.28
96.512,26.512,85.64,17.256,82.768,100.64,0.0,76.28
93.56,25.616,91.808,16.52,89.808,99.52,1.808,74.04
48.4,17.36,98.04,6.72,96.36,73.6,8.36,53.4
55.68,19.136,95.136,9.136,93.704,82.84,6.136,57.84
64.16,20.416,92.416,10.416,90.416,87.08,2.624,61.04
46.84,16.736,97.104,5.472,95.736,67.36,7.736,51.84
61.76,20.176,92.176,10.176,90.176,85.88,2.264,60.44
97.568,27.568,86.96,17.784,84.352,101.96,0.0,78.92
97.6,27.6,87.0,17.8,84.4,102.0,0.0,79.0
99.456,29.456,89.32,18.728,87.184,104.32,0.0,83.64
70.24,21.024,93.024,11.024,91.024,90.12,3.536,62.56
54.16,18.832,94.832,8.832,93.248,82.08,5.832,57.08
52.88,18.576,94.576,8.576,92.864,81.44,5.576,56.44
99.616,29.616,89.52,18.808,87.424,104.52,0.0,84.04
82.4,22.64,90.32,12.8,88.32,95.8,0.32,66.6
53.04,18.608,94.608,8.608,92.912,81.52,5.608,56.52
54.64,18.928,94.928,8.928,93.392,82.32,5.928,57.32
98.368,28.368,87.96,18.184,85.552,102.96,0.0,80.92
84.8,23.28,90.64,13.6,88.64,96.6,0.64,68.2
53.6,18.72,94.72,8.72,93.08,81.8,5.72,56.8
54.08,18.816,94.816,8.816,93.224,82.04,5.816,57.04
76.32,21.632,93.632,11.632,91.632,93.16,4.448,64.08
47.44,16.976,97.464,5.952,95.976,69.76,7.976,52.44
58.88,19.776,95.776,9.776,94.664,84.44,6.776,59.44
86.12,23.632,90.816,14.04,88.816,97.04,0.816,69.08
47.92,17.168,97.752,6.336,96.168,71.68,8.168,52.92
63.52,20.352,92.352,10.352,90.352,86.76,2.528,60.88
46.28,16.512,96.768,5.024,95.512,65.12,7.512,51.28
56.8,19.36,95.36,9.36,94.04,83.4,6.36,58.4
47.88,17.152,97.728,6.304,96.152,71.52,8.152,52.88
74.72,21.472,93.472,11.472,91.472,92.36,4.208,63.68
90.44,24.784,91.392,15.48,89.392,98.48,1.392,71.96
96.704,26.704,85.88,17.352,83.056,100.88,0.0,76.76
45.64,16.256,96.384,4.512,95.256,62.56,7.256,50.64
99.392,29.392,89.24,18.696,87.088,104.24,0.0,83.48
87.2,23.92,90.96,14.4,88.96,97.4,0.96,69.8
48.36,17.344,98.016,6.688,96.344,73.44,8.344,53.36
48.2,17.28,97.92,6.56,96.28,72.8,8.28,53.2
99.488,29.488,89.36,18.744,87.232,104.36,0.0,83.72
48.64,17.456,98.184,6.912,96.456,74.56,8.456,53.64
64.0,20.4,92.4,10.4,90.4,87.0,2.6,61.0
97.632,27.632,87.04,17.816,84.448,102.04,0.0,79.08
57.44,19.488,95.488,9.488,94.232,83.72,6.488,58.72
46.48,16.592,96.888,5.184,95.592,65.92,7.592,51.48
97.92,27.92,87.4,17.96,84.88,102.4,0.0,79.8
55.28,19.056,95.056,9.056,93.584,82.64,6.056,57.64
92.6,25.36,91.68,16.2,89.68,99.2,1.68,73.4
45.36,16.144,96.216,4.288,95.144,61.44,7.144,50.36
70.88,21.088,93.088,11.088,91.088,90.44,3.632,62.72
84.32,23.152,90.576,13.44,88.576,96.44,0.576,67.88
80.12,22.032,90.016,12.04,88.016,95.04,0.016,65.08
98.976,28.976,88.72,18.488,86.464,103.72,0.0,82.44
96.224,26.224,85.28,17.112,82.336,100.28,0.0,75.56
94.16,25.776,91.888,16.72,89.888,99.72,1.888,74.44
59.44,19.888,95.888,9.888,94.832,84.72,6.888,59.72
65.76,20.576,92.576,10.576,90.576,87.88,2.864,61.44
46.08,16.432,96.648,4.864,95.432,64.32,7.432,51.08
97.984,27.984,87.48,17.992,84.976,102.48,0.0,79.96
54.56,18.912,94.912,8.912,93.368,82.28,5.912,57.28
55.6,19.12,95.12,9.12,93.68,82.8,6.12,57.8
49.28,17.712,98.568,7.424,96.712,77.12,8.712,54.28
79.2,21.92,93.92,11.92,91.92,94.6,4.88,64.8
98.944,28.944,88.68,18.472,86.416,103.68,0.0,82.36
46.56,16.624,96.936,5.248,95.624,66.24,7.624,51.56
92.72,25.392,91.696,16.24,89.696,99.24,1.696,73.48
97.888,27.888,87.36,17.944,84.832,102.36,0.0,79.72
81.08,22.288,90.144,12.36,88.144,95.36,0.144,65.72
73.28,21.328,93.328,11.328,91.328,91.64,3.992,63.32
100.0,30.0,90.0,19.0,88.0,105.0,0.0,85.0
50.24,18.048,94.048,8.048,92.072,80.12,5.048,55.12
94.88,25.968,91.984,16.96,89.984,99.96,1.984,74.92
54.88,18.976,94.976,8.976,93.464,82.44,5.976,57.44
84.44,23.184,90.592,13.48,88.592,96.48,0.592,67.96
47.04,16.816,97.224,5.632,95.816,68.16,7.816,52.04
57.6,19.52,95.52,9.52,94.28,83.8,6.52,58.8
98.784,28.784,88.48,18.392,86.176,103.48,0.0,81.96
48.6,17.44,98.16,6.88,96.44,74.4,8.44,53.6
86.72,23.792,90.896,14.24,88.896,97.24,0.896,69.48
94.76,25.936,91.968,16.92,89.968,99.92,1.968,74.84
59.6,19.92,95.92,9.92,94.88,84.8,6.92,59.8
78.4,21.84,93.84,11.84,91.84,94.2,4.76,64.6
88.64,24.304,91.152,14.88,89.152,97.88,1.152,70.76
81.68,22.448,90.224,12.56,88.224,95.56,0.224,66.12
99.2,29.2,89.0,18.6,86.8,104.0,0.0,83.0
94.52,25.872,91.936,16.84,89.936,99.84,1.936,74.68
97.088,27.088,86.36,17.544,83.632,101.36,0.0,77.72
99.84,29.84,89.8,18.92,87.76,104.8,0.0,84.6
63.2,20.32,92.32,10.32,90.32,86.6,2.48,60.8
98.176,28.176,87.72,18.088,85.264,102.72,0.0,80.44
97.952,27.952,87.44,17.976,84.928,102.44,0.0,79.88
64.48,20.448,92.448,10.448,90.448,87.24,2.672,61.12
67.68,20.768,92.768,10.768,90.768,88.84,3.152,61.92
96.896,26.896,86.12,17.448,83.344,101.12,0.0,77.24
83.84,23.024,90.512,13.28,88.512,96.28,0.512,67.56
53.84,18.768,94.768,8.768,93.152,81.92,5.768,56.92
77.76,21.776,93.776,11.776,91.776,93.88,4.664,64.44
48.12,17.248,97.872,6.496,96.248,72.48,8.248,53.12
85.88,23.568,90.784,13.96,88.784,96.96,0.784,68.92
76.96,21.696,93.696,11.696,91.696,93.48,4.544,64.24
56.4,19.28,95.28,9.28,93.92,83.2,6.28,58.2
80.48,22.128,90.064,12.16,88.064,95.16,0.064,65.32
97.664,27.664,87.08,17.832,84.496,102.08,0.0,79.16
47.68,17.072,97.608,6.144,96.072,70.72,8.072,52.68
46.36,16.544,96.816,5.088,95.544,65.44,7.544,51.36
59.68,19.936,95.936,9.936,94.904,84.84,6.936,59.84
50.96,18.192,94.192,8.192,92.288,80.48,5.192,55.48
64.96,20.496,92.496,10.496,90.496,87.48,2.744,61.24
91.4,25.04,91.52,15.8,89.52,98.8,1.52,72.6
99.232,29.232,89.04,18.616,86.848,104.04,0.0,83.08
47.96,17.184,97.776,6.368,96.184,71.84,8.184,52.96
88.28,24.208,91.104,14.76,89.104,97.76,1.104,70.52
81.8,22.48,90.24,12.6,88.24,95.6,0.24,66.2
57.92,19.584,95.584,9.584,94.376,83.96,6.584,58.96
46.88,16.752,97.128,5.504,95.752,67.52,7.752,51.88
96.736,26.736,85.92,17.368,83.104,100.92,0.0,76.84
46.6,16.64,96.96,5.28,95.64,66.4,7.64,51.6
48.92,17.568,98.352,7.136,96.568,75.68,8.568,53.92
57.2,19.44,95.44,9.44,94.16,83.6,6.44,58.6
88.88,24.368,91.184,14.96,89.184,97.96,1.184,70.92
45.76,16.304,96.456,4.608,95.304,63.04,7.304,50.76
96.448,26.448,85.56,17.224,82.672,100.56,0.0,76.12
87.8,24.08,91.04,14.6,89.04,97.6,1.04,70.2
93.32,25.552,91.776,16.44,89.776,99.44,1.776,73.88
60.96,20.096,92.096,10.096,90.096,85.48,2.144,60.24
60.64,20.064,92.064,10.064,90.064,85.32,2.096,60.16
56.24,19.248,95.248,9.248,93.872,83.12,6.248,58.12
73.76,21.376,93.376,11.376,91.376,91.88,4.064,63.44
47.4,16.96,97.44,5.92,95.96,69.6,7.96,52.4
93.2,25.52,91.76,16.4,89.76,99.4,1.76,73.8
47.52,17.008,97.512,6.016,96.008,70.08,8.008,52.52
49.68,17.872,98.808,7.744,96.872,78.72,8.872,54.68
97.248,27.248,86.56,17.624,83.872,101.56,0.0,78.12
57.52,19.504,95.504,9.504,94.256,83.76,6.504,58.76
52.96,18.592,94.592,8.592,92.888,81.48,5.592,56.48
